feature,mean_abs_shap,model
numeric__age,0.08147610454338693,XGBoost
numeric__concurrent_drugs,0.05245210707699515,XGBoost
numeric__creatinine,0.035261157751058425,XGBoost
numeric__bmi,0.002132353362868654,XGBoost
numeric__weight_kg,0.0021000407534537417,XGBoost
numeric__alt,0.0020797087536846893,XGBoost
numeric__systolic_bp,0.0018101308858087114,XGBoost
numeric__hemoglobin,0.0016167116360383022,XGBoost
numeric__hba1c,0.001225241950704481,XGBoost
numeric__wbc_count,0.0008108697743744453,XGBoost
numeric__heart_rate,0.0008021219179310229,XGBoost
numeric__egfr,0.000783879617214594,XGBoost
numeric__dosage_mg,0.0007685333966386919,XGBoost
categorical__drug_name_Levothyroxine,0.0006429947758080431,XGBoost
numeric__height_cm,0.0005963129996759603,XGBoost
numeric__temperature_f,0.00054706360318512,XGBoost
numeric__diastolic_bp,0.0004988033901282538,XGBoost
numeric__total_cholesterol,0.00041013456196395404,XGBoost
numeric__ast,0.0003194558607041096,XGBoost
categorical__drug_name_Atorvastatin,0.0002817746047438625,XGBoost
categorical__drug_name_Amoxicillin,0.0002765809583413883,XGBoost
categorical__ethnicity_Asian,0.00027482985975509945,XGBoost
categorical__ethnicity_African American,0.0002586474231122198,XGBoost
numeric__duration_days,0.0002229064415988546,XGBoost
categorical__route_Subcutaneous,0.00021637711305098412,XGBoost
categorical__smoking_status_Former,0.00021177210261658064,XGBoost
categorical__diagnosis_Osteoarthritis,0.00018020355000282414,XGBoost
categorical__gender_Male,0.0001655215893253361,XGBoost
categorical__smoking_status_Never,0.00016290759807706848,XGBoost
categorical__drug_name_Gabapentin,0.0001628378409445465,XGBoost
categorical__smoking_status_Current,0.00016165219389809935,XGBoost
categorical__drug_name_Lisinopril,0.00015867157896994332,XGBoost
categorical__alcohol_use_Heavy,0.00015589272709634288,XGBoost
categorical__diagnosis_GERD,0.00015347934158577473,XGBoost
categorical__drug_name_Ibuprofen,0.00014653471144212033,XGBoost
categorical__diagnosis_Heart Failure,0.00013916448283951576,XGBoost
categorical__ethnicity_Other,0.00012623976130489455,XGBoost
categorical__ethnicity_Hispanic,0.00012605068181486582,XGBoost
categorical__diagnosis_Migraine,0.0001233495558176017,XGBoost
categorical__diagnosis_Anxiety,0.000113155860087729,XGBoost
categorical__route_Ophthalmic,0.00010129388247521743,XGBoost
categorical__route_Inhaled,9.98428064583403e-05,XGBoost
categorical__drug_name_Furosemide,9.981773869029576e-05,XGBoost
categorical__diagnosis_COPD,9.738488161241672e-05,XGBoost
categorical__diagnosis_Atrial Fibrillation,9.596016090077493e-05,XGBoost
categorical__diagnosis_Pneumonia,8.186099419257423e-05,XGBoost
categorical__drug_name_Pantoprazole,8.11511962113802e-05,XGBoost
categorical__drug_name_Omeprazole,6.540206677235905e-05,XGBoost
categorical__gender_Female,6.077994404196005e-05,XGBoost
categorical__route_Oral,5.862846968740239e-05,XGBoost
categorical__diagnosis_Chronic Kidney Disease,5.753652849719967e-05,XGBoost
categorical__diagnosis_Asthma,5.586875698314983e-05,XGBoost
categorical__drug_name_Escitalopram,5.5758437452968235e-05,XGBoost
categorical__drug_name_Tramadol,5.5217054907495614e-05,XGBoost
categorical__diagnosis_Type 2 Diabetes,5.267074632120983e-05,XGBoost
categorical__diagnosis_Depression,5.124458290485774e-05,XGBoost
categorical__ethnicity_White,5.0605091040065387e-05,XGBoost
categorical__ethnicity_Mixed,4.865244651098637e-05,XGBoost
categorical__drug_name_Montelukast,4.76726279564392e-05,XGBoost
categorical__drug_name_Fluticasone,4.418392210158873e-05,XGBoost
categorical__diagnosis_Hypertension,4.400525999136153e-05,XGBoost
categorical__alcohol_use_Yes,4.221823773118782e-05,XGBoost
categorical__alcohol_use_Occasional,3.8081919930526676e-05,XGBoost
categorical__route_Intramuscular,3.733636601020452e-05,XGBoost
categorical__diagnosis_Hyperlipidemia,3.698415187987907e-05,XGBoost
categorical__route_Rectal,3.618365515529465e-05,XGBoost
categorical__gender_Other,3.4652704329620675e-05,XGBoost
categorical__drug_name_Insulin Glargine,2.9888933354229797e-05,XGBoost
categorical__route_Intravenous,2.5448118015258198e-05,XGBoost
categorical__drug_name_Warfarin,2.2403988413337043e-05,XGBoost
categorical__drug_name_Sertraline,8.309517828580638e-06,XGBoost
categorical__drug_name_Albuterol,4.465192297951758e-06,XGBoost
categorical__drug_name_Rosuvastatin,0.0,XGBoost
categorical__drug_name_Hydrochlorothiazide,0.0,XGBoost
categorical__ethnicity_Pacific Islander,0.0,XGBoost
categorical__drug_name_Duloxetine,0.0,XGBoost
categorical__drug_name_Doxycycline,0.0,XGBoost
categorical__drug_name_Losartan,0.0,XGBoost
categorical__drug_name_Metformin,0.0,XGBoost
categorical__diagnosis_DVT,0.0,XGBoost
categorical__drug_name_Metoprolol,0.0,XGBoost
categorical__diagnosis_Epilepsy,0.0,XGBoost
categorical__drug_name_Amlodipine,0.0,XGBoost
categorical__route_Topical,0.0,XGBoost
categorical__drug_name_Simvastatin,0.0,XGBoost
categorical__drug_name_Azithromycin,0.0,XGBoost
categorical__diagnosis_Hypothyroidism,0.0,XGBoost
categorical__drug_name_Clopidogrel,0.0,XGBoost
categorical__diagnosis_Osteoporosis,0.0,XGBoost
categorical__drug_name_Ciprofloxacin,0.0,XGBoost
categorical__diagnosis_Rheumatoid Arthritis,0.0,XGBoost
categorical__ethnicity_Native American,0.0,XGBoost
categorical__diagnosis_UTI,0.0,XGBoost
categorical__drug_name_Prednisone,0.0,XGBoost
