feature,mean_abs_lime,model
num__weight_kg,0.0,Decision Tree
num__height_cm,0.0,Decision Tree
num__bmi,0.0,Decision Tree
num__systolic_bp,0.0,Decision Tree
num__diastolic_bp,0.0,Decision Tree
num__heart_rate,0.0,Decision Tree
num__temperature_f,0.0,Decision Tree
num__hemoglobin,0.0,Decision Tree
num__wbc_count,0.0,Decision Tree
num__alt,0.0,Decision Tree
num__weight_kg,0.0,Random Forest
num__height_cm,0.0,Random Forest
num__bmi,0.0,Random Forest
num__systolic_bp,0.0,Random Forest
num__diastolic_bp,0.0,Random Forest
num__heart_rate,0.0,Random Forest
num__temperature_f,0.0,Random Forest
num__hemoglobin,0.0,Random Forest
num__wbc_count,0.0,Random Forest
num__alt,0.0,Random Forest
numeric__age,0.08472171841786078,XGBoost
categorical__diagnosis_Epilepsy,0.061599346130390434,XGBoost
categorical__diagnosis_GERD,0.046477432920953216,XGBoost
numeric__creatinine,0.04266089200387987,XGBoost
categorical__drug_name_Tramadol,0.042242102877251324,XGBoost
numeric__concurrent_drugs,0.036562542322785246,XGBoost
categorical__gender_Male,0.036160138891739836,XGBoost
categorical__smoking_status_Former,0.03386993216600305,XGBoost
categorical__diagnosis_Hypertension,0.03240813532440623,XGBoost
categorical__diagnosis_Osteoarthritis,0.03148137344009224,XGBoost
categorical__route_Inhaled,0.029567753282203003,XGBoost
categorical__drug_name_Gabapentin,0.028975240433964527,XGBoost
categorical__ethnicity_White,0.027584419818198914,XGBoost
categorical__ethnicity_Other,0.02418665106523841,XGBoost
categorical__drug_name_Warfarin,0.022656038838846943,XGBoost
categorical__diagnosis_Chronic Kidney Disease,0.02128711037963276,XGBoost
categorical__route_Intramuscular,0.02098941850796571,XGBoost
categorical__ethnicity_Hispanic,0.01931442942129486,XGBoost
categorical__ethnicity_Asian,0.015538119949599699,XGBoost
categorical__diagnosis_Atrial Fibrillation,0.014612543284424,XGBoost
categorical__gender_Female,0.014340803991319123,XGBoost
categorical__route_Subcutaneous,0.013624936758350773,XGBoost
categorical__smoking_status_Current,0.012634164289116675,XGBoost
categorical__ethnicity_African American,0.011658041491920226,XGBoost
categorical__alcohol_use_Occasional,0.011468601252101071,XGBoost
numeric__weight_kg,0.01068064698784209,XGBoost
numeric__bmi,0.010448931059248791,XGBoost
numeric__systolic_bp,0.010064396987120954,XGBoost
categorical__route_Intravenous,0.009649729266491856,XGBoost
numeric__alt,0.009341628256855689,XGBoost
categorical__alcohol_use_Yes,0.008901697020105365,XGBoost
categorical__route_Rectal,0.008619600658048187,XGBoost
categorical__drug_name_Amoxicillin,0.008291201301475115,XGBoost
numeric__egfr,0.0075094515558370226,XGBoost
categorical__diagnosis_Type 2 Diabetes,0.00732486497823218,XGBoost
numeric__hemoglobin,0.006908318405170912,XGBoost
numeric__diastolic_bp,0.006859767495875907,XGBoost
numeric__duration_days,0.006139259163040996,XGBoost
numeric__total_cholesterol,0.006078869291955383,XGBoost
numeric__heart_rate,0.006061686980969583,XGBoost
numeric__height_cm,0.005160912619506285,XGBoost
numeric__dosage_mg,0.004600146094090996,XGBoost
numeric__wbc_count,0.004046889213676927,XGBoost
numeric__ast,0.0038435347769658307,XGBoost
categorical__route_Ophthalmic,0.003585184981007423,XGBoost
numeric__temperature_f,0.0033508441120056443,XGBoost
numeric__hba1c,0.0031734437866981755,XGBoost
categorical__diagnosis_Heart Failure,0.00039759152036943925,XGBoost
num__weight_kg,0.0,Gradient Boosting
num__height_cm,0.0,Gradient Boosting
num__bmi,0.0,Gradient Boosting
num__systolic_bp,0.0,Gradient Boosting
num__diastolic_bp,0.0,Gradient Boosting
num__heart_rate,0.0,Gradient Boosting
num__temperature_f,0.0,Gradient Boosting
num__hemoglobin,0.0,Gradient Boosting
num__wbc_count,0.0,Gradient Boosting
num__alt,0.0,Gradient Boosting
