feature,mean_abs_shap,model
age,0.08328338925289587,Decision Tree
concurrent_drugs,0.05170838071301911,Decision Tree
creatinine,0.03490078174228033,Decision Tree
drug_name,0.001987142417724506,Decision Tree
diagnosis,0.0019550357003093525,Decision Tree
route,0.001047641594599525,Decision Tree
ast,0.0010265636970521739,Decision Tree
weight_kg,0.0008448511209412066,Decision Tree
smoking_status,0.0008300156737976128,Decision Tree
total_cholesterol,0.0008251678917279892,Decision Tree
ethnicity,0.0007242959762766532,Decision Tree
height_cm,0.0007200276083739487,Decision Tree
heart_rate,0.0007066828608488075,Decision Tree
dosage_mg,0.0006775793950275805,Decision Tree
diastolic_bp,0.0006708001528381263,Decision Tree
wbc_count,0.0005944512358271655,Decision Tree
bmi,0.00044136744607509105,Decision Tree
duration_days,0.00039935133932642486,Decision Tree
temperature_f,0.00035182837697572613,Decision Tree
hba1c,0.0003189410709468421,Decision Tree
egfr,0.0003148117428700863,Decision Tree
alcohol_use,0.0002822805409547239,Decision Tree
gender,0.00020410734074805196,Decision Tree
alt,0.00017512455953316416,Decision Tree
hemoglobin,0.00016534172163262697,Decision Tree
systolic_bp,5.1770154769244025e-05,Decision Tree
age,0.049413002092193466,Random Forest
concurrent_drugs,0.025383888916214726,Random Forest
creatinine,0.023656932733415265,Random Forest
temperature_f,0.002181110998195511,Random Forest
drug_name,0.0019025937896107472,Random Forest
diagnosis,0.0011171485201344122,Random Forest
route,0.0009864641070910062,Random Forest
ethnicity,0.0009784285153118886,Random Forest
weight_kg,0.0008716607686108641,Random Forest
heart_rate,0.0008612504297360901,Random Forest
ast,0.000819419301164656,Random Forest
alt,0.0006751797507639505,Random Forest
systolic_bp,0.0006431885889750789,Random Forest
total_cholesterol,0.0005960693813004974,Random Forest
hba1c,0.0005270728184998929,Random Forest
egfr,0.0005168810481002973,Random Forest
bmi,0.00043879670066006917,Random Forest
diastolic_bp,0.00042630077207662405,Random Forest
height_cm,0.00037479957954097,Random Forest
wbc_count,0.00036664521803115544,Random Forest
smoking_status,0.00030270541300111617,Random Forest
alcohol_use,0.00026662649851158136,Random Forest
gender,0.0002284323601135606,Random Forest
hemoglobin,0.00020368409704261695,Random Forest
dosage_mg,0.00019344570895634333,Random Forest
duration_days,0.00013549759113266899,Random Forest
age,0.05569124412599459,XGBoost
concurrent_drugs,0.03462296031358719,XGBoost
creatinine,0.02296549774537043,XGBoost
bmi,0.0022070590372557796,XGBoost
weight_kg,0.001693887727567893,XGBoost
drug_name,0.0012978140134585997,XGBoost
alt,0.0012319487811979475,XGBoost
dosage_mg,0.0008325432997436562,XGBoost
egfr,0.0008158577849910688,XGBoost
heart_rate,0.0008052744598126246,XGBoost
diagnosis,0.0007215150906649461,XGBoost
temperature_f,0.0006933887907823323,XGBoost
ast,0.0006323522508215324,XGBoost
wbc_count,0.0006107249679866185,XGBoost
hemoglobin,0.0005581380542957669,XGBoost
duration_days,0.0005404975678409076,XGBoost
ethnicity,0.00046661496078929693,XGBoost
total_cholesterol,0.00044012232871061367,XGBoost
height_cm,0.0004371599173908153,XGBoost
diastolic_bp,0.0004041488987660488,XGBoost
route,0.00039895147830665056,XGBoost
systolic_bp,0.0003545562563820698,XGBoost
hba1c,0.0003087880932746322,XGBoost
alcohol_use,0.00020548077914814232,XGBoost
smoking_status,0.000175752221890902,XGBoost
gender,0.00013498109392579574,XGBoost
age,0.04722681417468271,Gradient Boosting
concurrent_drugs,0.024392336615541976,Gradient Boosting
creatinine,0.017039959351635946,Gradient Boosting
alt,0.0005979395537882396,Gradient Boosting
dosage_mg,0.0005651205397858183,Gradient Boosting
ethnicity,0.0004958920435976622,Gradient Boosting
drug_name,0.00046990662621342153,Gradient Boosting
egfr,0.00040247900320448157,Gradient Boosting
weight_kg,0.00039200213491139,Gradient Boosting
bmi,0.0003489338262722031,Gradient Boosting
diagnosis,0.0003289951708915896,Gradient Boosting
gender,0.0002694726521630489,Gradient Boosting
hemoglobin,0.0002393865247134558,Gradient Boosting
ast,0.0002114827788547758,Gradient Boosting
smoking_status,0.00021039110236481979,Gradient Boosting
temperature_f,0.00017991095523016082,Gradient Boosting
heart_rate,0.00016999795967647676,Gradient Boosting
total_cholesterol,0.0001427301962467739,Gradient Boosting
systolic_bp,0.00010082254189348472,Gradient Boosting
route,9.08258194370651e-05,Gradient Boosting
height_cm,8.054152620295289e-05,Gradient Boosting
hba1c,8.048026295989255e-05,Gradient Boosting
wbc_count,8.04151649594629e-05,Gradient Boosting
diastolic_bp,7.757556471185676e-05,Gradient Boosting
duration_days,3.426202751657522e-05,Gradient Boosting
alcohol_use,1.6921666408974813e-05,Gradient Boosting
