model,feature,importance_shap,shap_rank,importance_lime,lime_rank,shap_top10,lime_top10,top10_overlap
Decision Tree,age,0.0832833892528958,1,,0,True,False,False
Decision Tree,concurrent_drugs,0.0517083807130191,2,,0,True,False,False
Decision Tree,creatinine,0.0349007817422803,3,,0,True,False,False
Decision Tree,drug_name,0.0019871424177245,4,,0,True,False,False
Decision Tree,diagnosis,0.0019550357003093,5,,0,True,False,False
Decision Tree,route,0.0010476415945995,6,,0,True,False,False
Decision Tree,ast,0.0010265636970521,7,,0,True,False,False
Decision Tree,weight_kg,0.0008448511209412,8,0.0,10,True,True,True
Decision Tree,smoking_status,0.0008300156737976,9,,0,True,False,False
Decision Tree,total_cholesterol,0.0008251678917279,10,,0,True,False,False
Decision Tree,ethnicity,0.0007242959762766,11,,0,False,False,False
Decision Tree,height_cm,0.0007200276083739,12,0.0,5,False,True,False
Decision Tree,heart_rate,0.0007066828608488,13,0.0,4,False,True,False
Decision Tree,dosage_mg,0.0006775793950275,14,,0,False,False,False
Decision Tree,diastolic_bp,0.0006708001528381,15,0.0,3,False,True,False
Decision Tree,wbc_count,0.0005944512358271,16,0.0,9,False,True,False
Decision Tree,bmi,0.000441367446075,17,0.0,2,False,True,False
Decision Tree,duration_days,0.0003993513393264,18,,0,False,False,False
Decision Tree,temperature_f,0.0003518283769757,19,0.0,8,False,True,False
Decision Tree,hba1c,0.0003189410709468,20,,0,False,False,False
Decision Tree,egfr,0.00031481174287,21,,0,False,False,False
Decision Tree,alcohol_use,0.0002822805409547,22,,0,False,False,False
Decision Tree,gender,0.000204107340748,23,,0,False,False,False
Decision Tree,alt,0.0001751245595331,24,0.0,1,False,True,False
Decision Tree,hemoglobin,0.0001653417216326,25,0.0,6,False,True,False
Decision Tree,systolic_bp,5.1770154769244025e-05,26,0.0,7,False,True,False
Random Forest,age,0.0494130020921934,1,,0,True,False,False
Random Forest,concurrent_drugs,0.0253838889162147,2,,0,True,False,False
Random Forest,creatinine,0.0236569327334152,3,,0,True,False,False
Random Forest,temperature_f,0.0021811109981955,4,0.0,8,True,True,True
Random Forest,drug_name,0.0019025937896107,5,,0,True,False,False
Random Forest,diagnosis,0.0011171485201344,6,,0,True,False,False
