feature,mean_abs_shap,model
age,0.07772263931427639,LSTM
concurrent_drugs,0.052094237689770735,LSTM
creatinine,0.03282030856643835,LSTM
drug_name,0.0030507989192469155,LSTM
diagnosis,0.0024406535746722417,LSTM
weight_kg,0.002435573273553548,LSTM
ethnicity,0.0019436212264888207,LSTM
total_cholesterol,0.0017716652321634588,LSTM
route,0.001319491838089955,LSTM
heart_rate,0.0009838777662829446,LSTM
temperature_f,0.0009651911518851979,LSTM
height_cm,0.0009527086178871218,LSTM
diastolic_bp,0.0006651910034438742,LSTM
bmi,0.0006542098475333326,LSTM
ast,0.0006472066961076274,LSTM
smoking_status,0.0005639819375232557,LSTM
alt,0.000504564139290405,LSTM
wbc_count,0.0004836031546603862,LSTM
hemoglobin,0.00043596294810524375,LSTM
egfr,0.0004279556582469435,LSTM
gender,0.0002846903430486444,LSTM
hba1c,0.000236829764567813,LSTM
alcohol_use,0.00023373969616456364,LSTM
duration_days,0.00022447728477246535,LSTM
dosage_mg,0.00020388134336669434,LSTM
systolic_bp,8.985478990884136e-05,LSTM
