feature,mean_abs_shap,model
age,0.049413002092193466,Random Forest
concurrent_drugs,0.025383888916214726,Random Forest
creatinine,0.023656932733415265,Random Forest
temperature_f,0.002181110998195511,Random Forest
drug_name,0.0019025937896107472,Random Forest
diagnosis,0.0011171485201344122,Random Forest
route,0.0009864641070910062,Random Forest
ethnicity,0.0009784285153118886,Random Forest
weight_kg,0.0008716607686108641,Random Forest
heart_rate,0.0008612504297360901,Random Forest
ast,0.000819419301164656,Random Forest
alt,0.0006751797507639505,Random Forest
systolic_bp,0.0006431885889750789,Random Forest
total_cholesterol,0.0005960693813004974,Random Forest
hba1c,0.0005270728184998929,Random Forest
egfr,0.0005168810481002973,Random Forest
bmi,0.00043879670066006917,Random Forest
diastolic_bp,0.00042630077207662405,Random Forest
height_cm,0.00037479957954097,Random Forest
wbc_count,0.00036664521803115544,Random Forest
smoking_status,0.00030270541300111617,Random Forest
alcohol_use,0.00026662649851158136,Random Forest
gender,0.0002284323601135606,Random Forest
hemoglobin,0.00020368409704261695,Random Forest
dosage_mg,0.00019344570895634333,Random Forest
duration_days,0.00013549759113266899,Random Forest
