feature,mean_abs_shap,model
age,0.05569124412599459,XGBoost
concurrent_drugs,0.03462296031358719,XGBoost
creatinine,0.02296549774537043,XGBoost
bmi,0.0022070590372557796,XGBoost
weight_kg,0.001693887727567893,XGBoost
drug_name,0.0012978140134585997,XGBoost
alt,0.0012319487811979475,XGBoost
dosage_mg,0.0008325432997436562,XGBoost
egfr,0.0008158577849910688,XGBoost
heart_rate,0.0008052744598126246,XGBoost
diagnosis,0.0007215150906649461,XGBoost
temperature_f,0.0006933887907823323,XGBoost
ast,0.0006323522508215324,XGBoost
wbc_count,0.0006107249679866185,XGBoost
hemoglobin,0.0005581380542957669,XGBoost
duration_days,0.0005404975678409076,XGBoost
ethnicity,0.00046661496078929693,XGBoost
total_cholesterol,0.00044012232871061367,XGBoost
height_cm,0.0004371599173908153,XGBoost
diastolic_bp,0.0004041488987660488,XGBoost
route,0.00039895147830665056,XGBoost
systolic_bp,0.0003545562563820698,XGBoost
hba1c,0.0003087880932746322,XGBoost
alcohol_use,0.00020548077914814232,XGBoost
smoking_status,0.000175752221890902,XGBoost
gender,0.00013498109392579574,XGBoost
