drug_name,patient_count,successful_outcomes,efficacy_rate_percent
Simvastatin,12057,2758,22.87
Azithromycin,11980,2726,22.75
Metoprolol,11791,2676,22.7
Omeprazole,60874,13750,22.59
Hydrochlorothiazide,12282,2767,22.53
Lisinopril,60081,13524,22.51
Ibuprofen,60167,13538,22.5
Amlodipine,12198,2745,22.5
Insulin Glargine,48314,10856,22.47
Fluticasone,12119,2719,22.44
Metformin,72152,16181,22.43
Warfarin,60984,13680,22.43
Gabapentin,60443,13552,22.42
Atorvastatin,60240,13506,22.42
Tramadol,47877,10730,22.41
Montelukast,12134,2715,22.38
Losartan,12024,2689,22.36
Rosuvastatin,12092,2698,22.31
Escitalopram,11940,2663,22.3
Sertraline,11993,2657,22.15
Amoxicillin,72409,16010,22.11
Albuterol,12300,2718,22.1
Pantoprazole,12143,2682,22.09
Duloxetine,12212,2697,22.08
Clopidogrel,12187,2688,22.06
Doxycycline,12119,2673,22.06
Levothyroxine,12273,2701,22.01
Furosemide,11997,2617,21.81
Ciprofloxacin,12242,2658,21.71
Prednisone,12106,2581,21.32
