model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp
Decision Tree,0.1,0.2239572767476772,0.5002543011436499,0.2234369765812955,0.99961397851904,0.0008946237682597936,0.365235355366484,0.6417364933102583,0.32604708784614084,0.23489641966631306,137,153000,17,44022
Decision Tree,0.15000000000000002,0.2243782204730799,0.5004201495189633,0.22349463976476922,0.9993187856218352,0.0015215134160914737,0.36529267239948204,0.6417364933102583,0.32604708784614084,0.23489641966631306,233,152904,30,44009
Decision Tree,0.20000000000000004,0.23082423824400536,0.5030736516823454,0.22442541685443892,0.9951179636231522,0.011029339741538623,0.3662514468620331,0.6417364933102583,0.32604708784614084,0.23489641966631306,1689,151448,215,43824
Decision Tree,0.25000000000000006,0.23829472146711567,0.5062087464962041,0.225544897484293,0.990417584413815,0.021999908578593026,0.3674186265920884,0.6417364933102583,0.32604708784614084,0.23489641966631306,3369,149768,422,43617
Decision Tree,0.30000000000000004,0.3220625228222502,0.5419707594312024,0.24000440896644545,0.9394173346352097,0.14452418422719526,0.3823302451308828,0.6417364933102583,0.32604708784614084,0.23489641966631306,22132,131005,2668,41371
Decision Tree,0.3500000000000001,0.38788189231955206,0.5671322052155476,0.25294891131995206,0.8910965280773859,0.24316788235370942,0.39404360857712334,0.6417364933102583,0.32604708784614084,0.23489641966631306,37238,115899,4796,39243
Decision Tree,0.40000000000000013,0.43593540796040087,0.5813010487268299,0.26264653302336755,0.8440246145461977,0.31857748290746196,0.4006251347273119,0.6417364933102583,0.32604708784614084,0.23489641966631306,48786,104351,6869,37170
Decision Tree,0.45000000000000007,0.49912768288229803,0.5959142661034115,0.2768584594054561,0.7708394831853584,0.42098904902146445,0.4073949620171133,0.6417364933102583,0.32604708784614084,0.23489641966631306,64469,88668,10092,33947
Decision Tree,0.5000000000000001,0.5910607781880147,0.6057598433755003,0.3017402045769764,0.632325892958514,0.5791937937924865,0.4085324257117079,0.6417364933102583,0.32604708784614084,0.23489641966631306,88696,64441,16192,27847
Decision Tree,0.5500000000000002,0.6468282143871465,0.5993431850423023,0.3192946292426724,0.5135221054065714,0.6851642646780334,0.3937597395248418,0.6417364933102583,0.32604708784614084,0.23489641966631306,104924,48213,21424,22615
